feature,n,null_share,mean,std,p01,p50,p99
signed_imbalance_5,1894154,0.003128045554902083,0.0010576108526610358,0.5334398035961764,-1.0,0.0024875621890547263,1.0
intensity_5,1894154,0.0,9.215489131295556,15.876629027045615,0.4,5.2,70.4
realized_vol_5,1894154,0.008459185472775708,0.99892503494826,1.1706396651313755,0.1328780047060718,0.7729845858360809,5.513064145471574
signed_imbalance_60,1894154,0.000013726444629106186,-0.001187622369607771,0.26821591799546063,-0.5993519643580397,-0.002948002258044283,0.5897007986649183
intensity_60,1894154,0.0,6.732280435839255,7.655936130853502,1.2166666666666666,4.85,30.5
realized_vol_60,1894154,0.000021117607121701824,3.274067423121522,2.4318675831192555,0.8466527848629049,2.810452423443925,14.449849496577167
ofi_5,1894154,0.0,158.8569709749049,6454.842721875866,-18712.0,100.0,18191.0
ofi_60,1894154,0.0,1513.0805409697416,38917.885647419804,-119225.0,1109.0,105054.0
momentum_5,1894154,2.639700890212728e-6,-0.023891819140378863,1.8016848604211553,-4.536145743693332,0.0,4.2051574221021095
momentum_60,1894154,0.0056568790077258764,-0.11130523496550378,5.151256024937113,-14.605777992173422,0.0,12.175324675324191
spread_bps,1894154,0.0,0.2616835711218784,0.2625323578469784,0.13253020031927726,0.13663722134534245,1.0887908977071048
depth_imbalance,1894154,0.0,0.01471404034820822,0.5903464234470184,-0.9841269841269841,0.011764705882352941,0.982085732565579
run_length,1894154,0.0,0.25175513712190245,9.12828423712291,-26.0,1.0,28.0
vpin,1894154,0.05754072794503509,0.1466235146524121,0.023763373399044305,0.10088747683212937,0.14730005300888785,0.19527889119044883
