date,static,vpin_gated,composite,random
2026-07-08,6145.980000001723,6145.980000001723,1686.8250000011635,4396.175000001262
2026-07-09,-50383.674999997835,-50383.674999997835,-58839.10499999815,-40069.234999998116
2026-07-10,53538.37000000212,53538.37000000212,44075.74000000242,48022.14500000218
2026-07-13,-3467.519999999632,-4871.5999999993555,-4603.69999999983,-4348.504999999836
2026-07-14,2507.175000001088,2507.175000001088,346.4850000011702,-1435.3749999992392
2026-07-15,-18855.9450000026,-18855.9450000026,-22623.675000002622,-17915.375000002634
2026-07-16,-35915.75500000127,6078.92499999962,-34881.75500000184,-29581.38500000113
2026-07-17,-30030.62499999898,-2626.3349999989823,-7773.1549999988365,-19835.714999999658
2026-07-20,-5121.0949999978975,-5121.0949999978975,-13362.654999998558,-6199.7599999988215
