policy,hold_seconds,n_trades,n_fills,fill_rate,shares,notional_usd,spread_captured_usd,gross_pnl_usd,pnl_bps_of_notional,mean_markout_bps_sw,max_drawdown_usd,mean_abs_inventory_shares,max_abs_inventory_shares,pnl_per_inventory_usd,daily_pnl_vs_static_mean_usd,daily_pnl_vs_static_t
static,60.0,805063,805063,1.0,37614490.0,28167049623.955,358681.9400000054,-81583.08999999327,-0.028964016852730635,-0.02911901084567004,105084.36999999749,3469.20384988504,60215.0,-0.031405388355762204,,
vpin_gated,60.0,805063,711436,0.8837022692633992,32956198.0,24687127311.57,313655.3900000057,-13588.199999992114,-0.0055041641048384745,-0.005614515179317406,80814.62499999782,2904.1057581829,50231.0,-0.006248608856349292,7554.9877777779075,1.4324489326134464
composite,60.0,805063,643979,0.7999113112886818,32086827.0,24029766436.145,323120.9300000051,-95974.9949999951,-0.039940044883512396,-0.04006578378470607,117014.57999999987,3877.5710832568384,63485.0,-0.03305461990939101,-1599.1005555557542,-0.49797656260269724
random,60.0,805063,644043,0.7999908081727766,30095285.0,22536420181.96,287092.7450000043,-66967.02999999601,-0.02971502548288566,-0.029855541041567672,87730.44500000266,2791.244634270858,46779.0,-0.032040329566027634,1624.0066666663656,0.8256325374890947
static,5.0,805063,805063,1.0,37614490.0,28167049623.955,358681.9400000054,-30603.81999999185,-0.010865113815102762,-0.010936704517400076,35197.72999999075,844.8622405948354,28102.0,-0.0483752893584359,,
vpin_gated,5.0,805063,711436,0.8837022692633992,32956198.0,24687127311.57,313655.3900000057,-14139.364999992402,-0.0057274241840871345,-0.005783878087827792,32882.469999996145,725.4723232840163,20933.0,-0.026028125636362125,1829.383888888828,1.2732213567817292
composite,5.0,805063,643979,0.7999113112886818,32086827.0,24029766436.145,323120.9300000051,4776.720000006855,0.0019878345520753073,0.0019163673616941987,22444.859999996494,848.8349818585626,27456.0,0.007515196714088912,3931.1711111109666,2.6409697097488873
random,5.0,805063,644043,0.7999908081727766,30095285.0,22536420181.96,287092.7450000043,-24127.43499999339,-0.010705974953070395,-0.01076942974041537,28198.079999992922,687.1804864960878,21552.0,-0.04688934576683644,719.5983333331615,1.2290797213116003
