feature,coef_5,se_5,t_5,coef_1,se_1,t_1,coef_60,se_60,t_60
depth_imbalance,-0.05559986237509384,0.008640179476744692,-6.43503558285364,-0.053061310612410637,0.005188308369349219,-10.227092692847444,-0.06838585898648596,0.02013102486050184,-3.3970381269888903
run_length,-0.03675078690065655,0.01065537943629631,-3.449035965389395,-0.033729123116675974,0.008934627947979333,-3.7751010241343286,-0.04550113017605921,0.028338939282112025,-1.6056045613810332
realized_vol_60,-0.04143345679698099,0.012421434906265618,-3.3356417442626642,-0.032224898109476235,0.008854999754615086,-3.6391754943506496,0.014980326945404743,0.06422616046376507,0.23324338302701902
intensity_5,0.019221550027605734,0.011492106802610995,1.6725871380901731,0.009439210055507694,0.007868783464279322,1.1995767958741512,0.03310477127185223,0.03235770116534449,1.0230878609914311
spread_bps,0.032763705459949125,0.02100179181490184,1.5600433405259073,0.031044114563579805,0.01983555005500062,1.5650745493570755,-0.006786492391697797,0.04280119330096022,-0.15855848560057662
momentum_60,0.0382151948650785,0.030955040853811608,1.2345386667571763,-0.00239879047366094,0.0063689986325011355,-0.3766354198005101,0.7259149773273812,0.5556308374073218,1.3064699229341505
realized_vol_5,0.02899683480545777,0.024877238546289607,1.1655970075417632,0.02430722528401011,0.0163219598030432,1.4892344778032154,0.05025522485650521,0.059334048148661916,0.846987967694204
vpin,0.0037279189028681984,0.004333860520445141,0.8601843287945259,0.0032766552683147075,0.003900161594836686,0.8401332069554706,-0.004325985525347781,0.018371893800810477,-0.2354675882764432
signed_imbalance_5,0.011334555147596686,0.014880562989917984,0.7617020374347515,0.009383177330336348,0.004162018771342846,2.254477417291641,0.029918288407292708,0.03228113636463632,0.9268040650535434
ofi_5,0.0629494542747277,0.10154801485215714,0.6198984230895627,0.049048877633535715,0.033184068843696755,1.4780850975377737,0.29011110642663696,0.2823948092168602,1.0273245008687506
signed_imbalance_60,-0.005263064219566594,0.009359027864190697,-0.56235159206054,0.0013068410605224035,0.0035577057150718307,0.36732691379900095,-0.18986444043889691,0.08850069426776276,-2.1453440790470375
momentum_5,-0.06665720641577953,0.1572571671027725,-0.4238738853296076,-0.05150067429287054,0.03867168224806409,-1.3317412457651405,-0.3352168053721807,0.4084411648635773,-0.8207223811149051
ofi_60,-0.018185834688564852,0.04384832190421341,-0.4147441429638238,-0.01704528151710296,0.013639506382129848,-1.2496992955284127,-0.17316303136066882,0.23799126642709842,-0.727602461889971
intensity_60,0.003007938379705768,0.007644448399707231,0.3934801077107103,0.013838481322136694,0.006839631283087397,2.0232788507701587,-0.06972241933567294,0.07473497159228212,-0.932928960166664
const,-0.011970249922874267,0.0034433750685434884,-3.4763131185524783,-0.013760980853791453,0.00365437529998017,-3.765617848245123,-0.019287147008198353,0.01738152850448267,-1.109634690828498
r2,0.004620584491344726,,,0.012312141287025846,,,0.02534000100064726,,
n_obs,1759429.0,,,1759429.0,,,1759429.0,,
n_days,19.0,,,19.0,,,19.0,,
