split,regime,n_trades,share,n_days,markout_5_bps_sw,markout_5_se,markout_1_bps_sw,markout_1_se,markout_60_bps_sw,markout_60_se,r2_full,vpin_t,vpin_delta_r2,top_feature,top_feature_t,pnl_static_60s,fill_rate_static_60s,pnl_vpin_gated_60s,fill_rate_vpin_gated_60s,pnl_composite_60s,fill_rate_composite_60s,pnl_random_60s,fill_rate_random_60s,composite_vs_static_t_60s,pnl_static_5s,fill_rate_static_5s,pnl_vpin_gated_5s,fill_rate_vpin_gated_5s,pnl_composite_5s,fill_rate_composite_5s,pnl_random_5s,fill_rate_random_5s,composite_vs_static_t_5s
session,open,216613,0.12311551077082394,18,-0.061797229600360874,0.026480172955864637,-0.03548926504076902,0.022854074186205005,-0.17234673292778374,0.07850996146097743,0.009610333778017677,0.8251331169650838,0.000043840142120776804,spread_bps,2.9292169050368364,-63968.72999999525,1.0,-47219.26999999594,0.8647717228297034,-55658.319999995445,0.7286297410839317,-56360.64999999666,0.79807128882003,0.2527262490536362,-17086.484999996177,1.0,-14052.989999995776,0.8647717228297034,-10740.829999996615,0.7286297410839317,-13902.239999996753,0.79807128882003,1.9465828816237185
session,midday,1246078,0.7082286355402804,19,-0.018559912384818113,0.007943649649372749,-0.021020755616591284,0.007207585312773278,0.004376326559488283,0.01981424160546224,0.006642687969300565,0.9673561951940306,8.195279791567422e-6,depth_imbalance,-5.459563923310712,29905.425000001298,1.0,39903.695000002976,0.8837202458745389,10833.220000000141,0.7966359294642656,27479.43000000067,0.8005809313943565,-1.6178299973006298,-22163.434999997568,1.0,-13300.159999999061,0.8837202458745389,6147.570000002264,0.7966359294642656,-17265.064999998074,0.8005809313943565,2.19130923200389
session,close,296738,0.16865585368889566,19,0.010559281974169433,0.011336522137499229,0.002591777697937801,0.008652277776044047,-0.11554332459148747,0.07531608843080753,0.012323981194623412,0.3440180512903865,2.7928025572165893e-6,depth_imbalance,-7.46963751333139,-47519.78499999931,1.0,-6272.624999999143,0.8986667298174154,-51149.89499999979,0.8715040140194662,-38085.810000000005,0.7988253960736021,-1.0129728138792604,8646.100000001896,1.0,13213.785000002441,0.8986667298174154,9369.980000001206,0.8715040140194662,7039.870000001438,0.7988253960736021,0.6664538735660266
volatility,low,586477,0.3333337122441428,19,0.005276103028635258,0.00742577809690657,-0.0019550998338709216,0.007321060250406943,0.010532205513662275,0.015195488869981733,0.009491677491295869,1.6612397574906153,0.00012667848971725792,depth_imbalance,-7.200148733098051,9834.875000001193,1.0,9713.755000002406,0.9298393181846295,16810.40000000163,0.8544586420593001,9337.85000000094,0.8005300397065918,1.656820765601419,4536.835000002777,1.0,5199.995000003017,0.9298393181846295,12032.75500000291,0.8544586420593001,3871.015000002152,0.8005300397065918,4.473907857209063
volatility,mid,586476,0.33333314387792856,19,-0.029402248717930155,0.009916839626221832,-0.03419804276825132,0.007132522704795456,-0.07119776233410777,0.017479300632582254,0.01265296069867261,1.849865627036543,0.0001722528612887464,depth_imbalance,-6.626171276926585,-43470.20999999534,1.0,-22134.17499999579,0.8666756927198942,-48531.91999999703,0.7852630678842337,-33171.14999999693,0.7992795784358088,-0.44886886354852706,-31059.9599999993,1.0,-31653.435000000318,0.8666756927198942,-19014.509999999304,0.7852630678842337,-25567.28999999912,0.7992795784358088,4.9161084718762185
volatility,high,586476,0.33333314387792856,19,-0.03195514910427539,0.0218496498001577,-0.019360185278488304,0.0180730821792834,-0.061087181853519225,0.05315752201230557,0.0070773162871913264,-1.0026051977284116,0.00002353282333544815,depth_imbalance,-3.9461204470800735,-47947.75499999914,1.0,-1167.77999999874,0.8332570564415835,-64253.47499999969,0.7326163305508849,-43133.73000000001,0.8001164051695834,-0.4742893380000016,-4080.694999995325,1.0,12314.0750000049,0.8332570564415835,11758.475000003229,0.7326163305508849,-2431.159999996422,0.8001164051695834,1.2427759464365407
volume,low,586477,0.3333337122441428,18,-0.022205696083095448,0.007373915171211732,-0.03105047128286187,0.008415920842753978,-0.007751897599090794,0.01650996435980208,0.009695317416703486,2.1180184891760434,0.00010337598470111509,depth_imbalance,-7.951318724429117,-25202.95499999966,1.0,-17398.41499999758,0.8719585389554713,-16690.69499999949,0.8154672306588165,-20373.45499999983,0.8006275047793253,1.4867226006446488,-27522.01999999774,1.0,-22953.03999999856,0.8719585389554713,-15847.569999997215,0.8154672306588165,-23125.79499999822,0.8006275047793253,7.712458668292729
volume,mid,586476,0.33333314387792856,19,-0.02307081423521908,0.00818751672012594,-0.02250920037258838,0.006073057485605917,-0.018976909553422763,0.0227437549173909,0.006326365139018519,1.1255494634147056,0.00005340439402046204,depth_imbalance,-7.68779260642991,15568.280000003258,1.0,21992.36000000288,0.909982660008728,37342.400000001646,0.7838641533334105,13715.010000002108,0.7994508359111605,1.9048020173184614,-16076.82499999567,1.0,-14170.959999995088,0.909982660008728,-1663.009999995762,0.7838641533334105,-11955.3549999957,0.7994508359111605,5.513814075897157
volume,high,586476,0.33333314387792856,19,-0.01148538961846673,0.019392429954528806,-0.0034851175906148502,0.014728951881697119,-0.09045525296789926,0.05300909431315644,0.006216172187484714,-0.6880108472015495,0.00001697043384718544,depth_imbalance,-4.169262046345407,-71948.41499999688,1.0,-18182.1449999974,0.8702654545769074,-116626.69999999725,0.7966967382560785,-60308.584999998275,0.7997284042451973,-1.7898821216744756,12995.02500000156,1.0,22984.635000001246,0.8702654545769074,22287.299999999832,0.7966967382560785,10953.715000000524,0.7997284042451973,0.7476176827348203
