horizon,n_days,df,mean_dollars_ew,se_dollars_ew,t_dollars_ew,mean_dollars_sw,se_dollars_sw,t_dollars_sw,mean_bps_ew,se_bps_ew,t_bps_ew,mean_bps_sw,se_bps_sw,t_bps_sw,mean_fracspread_ew,se_fracspread_ew,t_fracspread_ew,mean_fracspread_sw,se_fracspread_sw,t_fracspread_sw
0.0,5,4,0.0049999999999954525,0.0,NaN,0.0049999999999954525,0.0,NaN,0.11108751515529935,0.000017990076032341385,6174.933055068443,0.11108783021724829,0.000017945572042043276,6190.264091720749,1.0,0.0,NaN,1.0,0.0,NaN
0.1,5,4,0.004983999999995427,0.00003726258176777667,133.75348039639618,0.004956954333860331,0.00004030437630373349,122.98799258186651,0.11073240237815123,0.0008341103264684049,132.75510308928617,0.11013160743795514,0.0008935405733990615,123.25305723836402,0.9967999999999921,0.007452516353562119,133.7534803963961,0.9913908667729681,0.008060875260753999,122.987992581867
0.25,5,4,0.005010999999995454,0.00008009993757800678,62.559349626401406,0.004960874602486167,0.0000924555903801118,53.65683764595056,0.11133228848229222,0.0017811175776430007,62.50698431128906,0.11021885671487737,0.0020520001279928767,53.71288978557997,1.0022000000000024,0.016019987515615914,62.559349626401456,0.9921749204981356,0.01849111807603918,53.656837645950546
0.5,5,4,0.005029999999995494,0.00008458723307922365,59.465238628676275,0.004952007919345832,0.00010704494193631416,46.261017379896415,0.11175470467149176,0.0018856202942790763,59.266812629537704,0.11002163064387838,0.0023743884402496755,46.3368287929793,1.0060000000000138,0.01691744661586012,59.46523862867627,0.9904015838700673,0.021408988387282283,46.261017379896465
1.0,5,4,0.005066999999995523,0.00012279657975690012,41.2633642567785,0.005017437685239958,0.0001234055228190067,40.65812915519841,0.1125772852384064,0.0027329767578704338,41.192185375966346,0.11147566746402829,0.0027392976429348906,40.694981705088814,1.013400000000026,0.02455931595140236,41.263364256778495,1.0034875370489043,0.024681104563823827,40.65812915519834
2.0,5,4,0.005306999999995468,0.00009649611391138791,54.99703340249401,0.005227835407643147,0.00007289533004526942,71.71701403089277,0.11791035246165608,0.0021556270590602834,54.69886452114658,0.11615173378297768,0.0016274715664755756,71.36943967292397,1.061400000000059,0.01929922278229515,54.99703340249397,1.0455670815295806,0.014579066009067165,71.71701403089268
5.0,5,4,0.0059249999999953906,0.00031663464750411694,18.712418387246622,0.005724705060275253,0.0003756675175659441,15.238754463966524,0.13164048471171724,0.007035937172622719,18.709729987916717,0.12719160757919784,0.008345659325594293,15.24045046856026,1.1850000000001557,0.06332692950088098,18.712418387246622,1.144941012056092,0.07513350351325714,15.238754463966528
10.0,5,4,0.009240999999995461,0.00029237988986942196,31.60614091524054,0.009249149336634779,0.0003511755694479354,26.337678760441335,0.20531359025345433,0.006496968723523733,31.601443533208098,0.2055007428420455,0.007813641519380802,26.300252236082947,1.848200000000773,0.05847597797393761,31.60614091524052,1.8498298673286382,0.07023511388965092,26.337678760441346
30.0,5,4,0.021902999999995138,0.00022986191507110246,95.28764255366076,0.021852917102675316,0.0002833516949970076,77.12294469565852,0.486631022755446,0.005053211724677134,96.30133255232612,0.4855234444875804,0.0062670221878693,77.47275020461538,4.380600000003012,0.04597238301426236,95.28764255366065,4.370583420539037,0.056670338999453014,77.12294469565856
60.0,5,4,0.03145399999999505,0.00049730875721213,63.24843378251261,0.03110976912208243,0.0004358508632337986,71.3770964941156,0.6988306507644539,0.011028692861338327,63.364775821642674,0.6911797858670915,0.009583051771401415,72.12522715673633,6.290800000004731,0.09946175144251652,63.24843378251258,6.221953824422146,0.08717017264683921,71.37709649411545
120.0,5,4,0.03488599999999516,0.00048227429954332866,72.3364276989861,0.03449775407293536,0.0007299725411734762,47.258974998536345,0.7750814403073762,0.010720397648566183,72.29969127227672,0.7664601770739254,0.016223907466653295,47.24263736398348,6.977200000005377,0.09645485990875312,72.33642769898634,6.899550814593349,0.14599450823482818,47.25897499853631
