horizon,n_days,df,n_trades,mean_dollars_ew,se_dollars_ew,t_dollars_ew,mean_dollars_sw,se_dollars_sw,t_dollars_sw,mean_bps_ew,se_bps_ew,t_bps_ew,mean_bps_sw,se_bps_sw,t_bps_sw,mean_fracspread_ew,se_fracspread_ew,t_fracspread_ew,mean_fracspread_sw,se_fracspread_sw,t_fracspread_sw
0.0,2,1,209543,0.009051748837190485,0.0005497152716721032,16.46624953615936,0.009249242411590475,0.0005475831693833318,16.89102757122107,0.12156768526116932,0.007389545317216868,16.451307900897408,0.12422461996448685,0.007361658681111673,16.87454218479576,0.9677793565496374,0.0026691530380360535,362.57919375867766,0.9566521482393217,0.0024635079361006174,388.329233375057
0.1,2,1,209543,-0.0008242888267886886,0.00020404084456867108,-4.039822656739051,-0.0014648035103315355,0.000030765878456705037,-47.61130134453548,-0.01104730286608392,0.0027430776891085584,-4.027338675075607,-0.019644568804333337,0.00042005721269273115,-46.76641231417968,-0.3990487495654319,0.041097598458842144,-9.709782676597655,-0.48113611169930437,0.025691565496011037,-18.727395641733363
0.25,2,1,209543,-0.0011449401927282666,0.0001810847710416859,-6.3226752097485885,-0.0017538314564824484,0.0000697475595778272,-25.145416801650974,-0.015348504580521746,0.0024403702829723633,-6.289416277363989,-0.02352213008298181,0.000921954507448081,-25.51333053090631,-0.4458436499983861,0.05208746011342832,-8.559519873449275,-0.525541339823238,0.027740861101947924,-18.944665700602034
0.5,2,1,209543,-0.0013604323000461164,0.00008036055676284971,-16.929104959549477,-0.0018611049768162574,0.00018972705740702647,-9.809380919367657,-0.018242555260292944,0.001084642350789054,-16.81895903015577,-0.024963235808172474,0.00253460895349643,-9.848949587957666,-0.46291881173094435,0.05493564379907262,-8.426565699749913,-0.5263857808789083,0.021575113351358144,-24.397822264316055
1.0,2,1,209543,-0.0018045652244830634,0.0003837850162719722,-4.702021048169959,-0.002275245168442271,0.00017575780303597554,-12.945343701050673,-0.024208931348903052,0.005163586046458116,-4.688395067127583,-0.030525960421977607,0.0023866203894968054,-12.790454886046497,-0.4978244377134444,0.06544821936383612,-7.606386278379346,-0.5429411162828939,0.0450336432408348,-12.056344484040666
2.0,2,1,209543,-0.0016214737332537164,0.0005396220546950111,-3.004832213854115,-0.0018220110101849676,0.0003429934993999743,-5.312086128082181,-0.021741124493373013,0.00725331405926349,-2.9974056432323617,-0.024435670123111403,0.0046220887810697895,-5.286715872527167,-0.4718991939797158,0.08251305182056015,-5.719085448517256,-0.46985225886408033,0.06735438279969086,-6.975823091741505
5.0,2,1,209543,-0.0016693238459928167,0.00012133577721318203,-13.757886456357243,-0.0025753644401263513,0.00027110258666526607,-9.499593758233623,-0.022369418798253576,0.0016245641562138457,-13.7694893197613,-0.03454958371283979,0.0036396722602654303,-9.492498566428669,-0.4874507423318689,0.05687177820195876,-8.5710480266833,-0.5455229550596945,0.018120885896194868,-30.104651515643983
10.0,2,1,209543,-0.002087230220202194,0.0002082624300099886,-10.022115943341712,-0.0031063510487948443,0.0009150389377906204,-3.394774714500336,-0.02799047406561673,0.0027907368301912697,-10.029779147501463,-0.0416833302307268,0.012281183493329724,-3.394080892396589,-0.5229156531419186,0.018074379046526368,-28.93132050599632,-0.5654182963821259,0.06253903386053555,-9.041046231111125
30.0,2,1,209543,-0.002355495197773164,0.0002055255843843209,-11.460836882324708,-0.0028844281356977656,0.0020470622750618263,-1.409057345659232,-0.03160013537718476,0.002730458910475675,-11.573195720304641,-0.03871268866240383,0.027399434113206948,-1.4129010293589865,-0.6101329750146043,0.04305001578682171,-14.172653920405196,-0.5631122469150774,0.20775283606641504,-2.710491262487796
60.0,2,1,209543,-0.003713276186679557,0.0014199752657318787,-2.6150287799313694,-0.0028673652997181667,0.0026177748228210763,-1.0953445173057765,-0.04985433186742881,0.019119963147655288,-2.6074491609855706,-0.03856520603680616,0.03516456188065686,-1.0967065697474228,-0.8156335368145258,0.08822034564469293,-9.245413071713484,-0.5665469961757053,0.18029119916767405,-3.1423996223398922
120.0,2,1,209543,-0.007037950164045348,0.00008972035159194495,-78.44318528815498,-0.007696441099562721,0.000750050580094631,-10.261229447474983,-0.09458596414809672,0.001165391234306,-81.1624125561777,-0.10356448868077754,0.009978540996361779,-10.378720568321324,-1.372823831702798,0.1192465025642252,-11.512487177252066,-1.3190773309432142,0.23627017115193316,-5.582919437151394
