size_quintile,n_trades,mean_dollars_0,mean_bps_0,mean_fracspread_0,mean_dollars_0.1,mean_bps_0.1,mean_fracspread_0.1,mean_dollars_0.25,mean_bps_0.25,mean_fracspread_0.25,mean_dollars_0.5,mean_bps_0.5,mean_fracspread_0.5,mean_dollars_1,mean_bps_1,mean_fracspread_1,mean_dollars_2,mean_bps_2,mean_fracspread_2,mean_dollars_5,mean_bps_5,mean_fracspread_5,mean_dollars_10,mean_bps_10,mean_fracspread_10,mean_dollars_30,mean_bps_30,mean_fracspread_30,mean_dollars_60,mean_bps_60,mean_fracspread_60,mean_dollars_120,mean_bps_120,mean_fracspread_120
1,41908,0.008572468263815799,0.11512036880297244,0.9568840982919755,-0.00019638255225737483,-0.0026338305530541357,-0.3569877052616619,-0.0008107044001143256,-0.010886015601823212,-0.44466145873129137,-0.0014586713753933125,-0.019590957744934162,-0.5167695377623924,-0.0018794740860927936,-0.025249760377848207,-0.5764630451359606,-0.0019336403550634037,-0.025974471742992427,-0.5624440348260401,-0.0018885415672422162,-0.02534880559855479,-0.5849450187334904,-0.0016570821800131277,-0.02222331507352349,-0.5866032499378628,-0.002685764054595818,-0.036059696264538935,-0.9169212309965641,-0.006215161782952895,-0.08346701632292264,-1.518362043977294,-0.00869153860838015,-0.11678680151243162,-2.1496376334816985
2,41909,0.009069770216421373,0.1218229757571969,0.9812439177796262,0.00013231048223519905,0.0018009109682407595,-0.3082788729083717,-0.00020902431458654451,-0.002782889797188233,-0.3862322951153376,-0.00007838411796965309,-0.0010280722608150294,-0.3860923972232282,-0.0008508912166836362,-0.011397098031879467,-0.4307812591077186,-0.0005409339282738052,-0.007216434934978705,-0.3960924561361417,-0.0003082870027920578,-0.0040725001175605825,-0.40538369651557465,-0.0012200243384477432,-0.016303737219119152,-0.4443685444123851,-0.002743324822830384,-0.036742890655458264,-0.7658558667891141,-0.0019706984180008153,-0.026222202563476328,-0.628691281439982,-0.00611336467107268,-0.08180959493362679,-1.1268898148010058
3,41908,0.0092848620788395,0.12463945549806132,0.9770249924558452,-0.0019583373102988514,-0.026236149025495828,-0.4580640727387459,-0.0023680442874868843,-0.031720444105983736,-0.48089094481302974,-0.0025662164741810894,-0.034383351341793295,-0.4906545867577403,-0.0029315405173234855,-0.03929111605797581,-0.5311038792735168,-0.002817003913334381,-0.037755366107473924,-0.5380687477799188,-0.0027903980146989525,-0.037386705948965454,-0.5361414482996116,-0.002102701154911096,-0.02819184967872697,-0.49119602775722665,-0.0012257802806149268,-0.016391905296489963,-0.33637752891844674,-0.003913811205497762,-0.05259773534739987,-0.8156042293241715,-0.0057660828481432835,-0.07752906597253,-1.3020578083653063
4,41909,0.00835441074709506,0.11225383764567626,0.971282841213424,-0.0013351547400316495,-0.017939842606083375,-0.4773379628439259,-0.0014419337135220345,-0.019374891877006077,-0.5100690556266544,-0.0016131379894531663,-0.021668963475052434,-0.5064206364345755,-0.002104321267507333,-0.02827607316648362,-0.5623278545866947,-0.0020039848242619294,-0.026911564140877975,-0.5311015695603927,-0.0017442554105318426,-0.0234133062565994,-0.5098564561728705,-0.0029917201555748384,-0.04020133218914497,-0.6625872403787746,-0.0030965902312147524,-0.041636911658524185,-0.6777654346166668,-0.0033211243408328606,-0.044698235294074226,-0.6839386365886424,-0.010817008279844345,-0.1455437772628949,-1.7170279840363225
5,41909,0.0099199455964114,0.13323170294142625,0.9527390246271283,-0.0007851535469711942,-0.010513598858191316,-0.3988579889922196,-0.0009138848457372944,-0.012232857064673985,-0.4127929192761849,-0.0010941563864563647,-0.01465487065290068,-0.42038324906471625,-0.001296618864682657,-0.017369049619016464,-0.3952686537922306,-0.0008680712973347528,-0.011604078224349055,-0.3403909228334101,-0.0016278126416755573,-0.021795488263725977,-0.40685673092680336,-0.0024429120236698068,-0.03274120310973353,-0.4317073517658404,-0.0020045813548399205,-0.02688449736054518,-0.3582314980384379,-0.0029976854613565727,-0.040294999648258084,-0.42239552695402516,-0.0038111145577320103,-0.05138213985208453,-0.5560970455368319
